Date,name,title,rating,description
"July 8, 2021",Deborah,Damaged containers.,1.0,my containers were smashed in and the lids were all cracked. I am very unhappy. SMH
"July 8, 2021",april,N/A,5.0,"my go to wipes for quick cleaning, and sanitizing"
"July 7, 2021",musicmovesme2000,Already did a review,5.0,Already did a review on this but it wants another lol love these wipes. I posted a life hack for removing mildew with these if anyone is interested. Just check out my page :)
"July 7, 2021",chadr2,These are the BOMB!!,5.0,These are the BOMB!! I use Clorox wipes on virtually everything. I keep 3 or 4 of these stocked in the pantry at all times. Cleans just about anything you need to have cleaned and leaves it germ free.
"July 7, 2021",cassidyg32,Household staple. It was,5.0,"Household staple. It was so hard for me to not be able to find these during the pandemic. I would buy literally anything just so I had something, but nothing is even comparable to REAL Clorox wipes. So glad they are finally back in stock everywhere!!!"
"July 6, 2021",katier203,Would be great for,5.0,Would be great for all and any messes with satisfaction of knowing ur going to be germ free to I probably over use them but I hate germs
"July 6, 2021",Oscar,Must have,5.0,Great product always on my list
"July 6, 2021",Cheryll,N/A,5.0,Cant get along without this!
"July 5, 2021",lisae64,These wipes are fabulous,5.0,These wipes are fabulous ! I tried to stock up best I could beginning of pandemic knowing they would be the best way of disinfecting ! These wipes never fail to impress how long they last how much use and sturdy just one wipe is ! Definitely will continue to buy !
"July 4, 2021",carab50,I love this product.,5.0,I love this product. Having a baby there is always a mess to clean up and being able to grab a wipe that kills germs instead of getting out a spray and having to get paper towels while holding a newborn really makes it easy. Love love love these
"July 4, 2021",hoogerland,good wipes,5.0,plenty of liquid cleaner; they don't dry out over time
"July 3, 2021",shopper48,Good product,5.0,I use these for everything.
"July 1, 2021",MrPete50,N/A,5.0,Much better than the discount junk from china.
"June 30, 2021",Bunnie,N/A,5.0,Handy for clean ups in the car fresh smelling
"June 30, 2021",RICHARD,N/A,5.0,MY ONLY CHOICE THERE IS NO OTHER OPTION
"June 29, 2021",Jackie,N/A,5.0,You can always trust Clorox. Period.
"June 29, 2021",Leanne,Clorox Wipes,5.0,An excellent cleaning product.
"June 28, 2021",old2thumbs,Great,5.0,[This review was collected as part of a promotion.] Clorox is the only way to get the job done right the first time!!
"June 27, 2021",Beth,N/A,1.0,bottle leaked all liquid out..
"June 26, 2021",Karen,Clorox Wipes Cleans My Kitchen!,5.0,Been using them for years to clean up grimy stove top! I could make an ad I love using them so much!
"June 26, 2021",crisal,Good,5.0,Always trust Clorox to clean and disinfect
"June 24, 2021",JennyZ,Boyfriend luvs it!,5.0,"I wipe down my VaJayjay every day with it.
Feel confident and fresh!!!"
"June 24, 2021",Nicole,Great buy!,5.0,These are so handy for quick clean ups and disinfectant. We use these daily in our home
"June 24, 2021",Diana,N/A,5.0,I absolutely loved everything I purchased h
"June 23, 2021",Debra,N/A,5.0,That was quick.... Thank you.
"June 23, 2021",northwoods50,puzzled,3.0,"I love the product, but upon latest delivery there was no 'juice' in the bottom of the container - for all of them. The wrappers were all wet and so had to remove them all. For now the first container is fine, but I'm guessing it will dry up before we use them up. Disappointed"
"June 23, 2021",Benteng,Easy to use,5.0,Pretty good .These Clorox wipes are the only cleaning wipes we'll use. Very strong cleaning power
"June 21, 2021",leah,Classic household product!,5.0,Always a classic and delivered to our house!
"June 21, 2021",Zakiya,get it soon,4.0,awesome deal especially during Covid
"June 19, 2021",Judith,Quick cleanup,5.0,Keep these handy in the bathroom for a quick clean up. Must have for our bathroom
"June 17, 2021",Calvin,Walmart cheaper and faster than Amazon,5.0,Price half of Amazon - delivered next day!!
"June 14, 2021",WalmartCustomer,N/A,2.0,The clorox wipes were dented and liquid had spilled out.
"June 14, 2021",Davey,Long laster,5.0,"I've been using this product for over 45 years. It never disappoints. It has changed over the years, gotten weaker but it still does the job well"
"June 13, 2021",idonotwantto,My number one cleaner!,5.0,Nothing compares to Clorox.
"June 13, 2021",kelli,N/A,5.0,"Arrived very Quickly. Love using the online shopping, so easy. And it's so I don't tempt to buy other than just what i need."
"June 12, 2021",Kim,Good product,4.0,"Used for many many years, just wish the didn't dry out so quickly."
"June 11, 2021",Connie,N/A,5.0,I USE THESE ALWAYS. VERY HANDY FOR QUICK CLEANING.
"June 11, 2021",Roxie,N/A,5.0,"I like the smell of the bleach, because it makes it smells fresh and clean especially if you have to travel and stay out of town."
"June 10, 2021",Yanet,Great product!!,5.0,We tend to keep these all the time. They clean great.
"June 10, 2021",Elaine,N/A,5.0,I always liked theses wipes for fast sanitizing and I always like Clorox products in all my sanitizing because it works
"June 9, 2021",marie,The best wipes ever!,5.0,I use these likes for multiple of things. It really is a great product. That's delivery.
"June 8, 2021",jean,Great product,5.0,Some of containers were damaged. The tops were smashed in. Put them in old containers I have.
"June 7, 2021",Lisa,N/A,5.0,love um great value use um all the time would buy again
"June 7, 2021",blndaly,The Best,5.0,Haven't found this in a year.
"June 7, 2021",Jns0,Goodbye germs,4.0,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.
"June 6, 2021",Paul,N/A,5.0,This is a good product for cleaning
"June 6, 2021",Monica,N/A,5.0,I use these every single day. They're great when cleaning my cats litter box. I also use them to wipe down the tub after every bath and so does the rest of the family.
"June 6, 2021",1happycustomer,The best brand of disinfecting wipes,5.0,The best disinfecting wipes I know. I feel assured when I use this brand of wipes to disinfect anything.
"June 5, 2021",cheriebfl,Not sturdy,3.0,This is not for children or rough adults. My 12 yr old daughter had this for 3 weeks before the front of two drawers fell off.
"June 5, 2021",Robin,N/A,1.0,Very disappointed. They where smashed and leaking.
"June 4, 2021",JUAN,N/A,5.0,very happy i was able to get!
"June 4, 2021",melissa,N/A,5.0,nice wet wipes with a nice smell
"June 4, 2021",LILIANA,N/A,5.0,"Easy to use, I keep a canister for each floor, very handy."
"June 2, 2021",Bostonlover,N/A,5.0,"Love the wipes, not the delivery. Came in an envelope and they leaked all over to the point where all the labels were soaked and came right off the containers had to dry them all and now hoping they just leaked and no holes in any of them."
"June 2, 2021",razikx,Better than Lysol wipes,5.0,"These are honestly better wipes than the Lysol ones. They are both great but I choose this over Lysol any day. I think the quality of the wipes on these are better , they just feel like they handle more wipes before they start to fray a bit"
"June 1, 2021",Miguelina,Efficient,5.0,Really good items and the best quality.
"May 31, 2021",GG,CLOROX WIPES,5.0,WKS WELL IN BATHROOMS AND KITCHEN
"May 30, 2021",Marie,N/A,1.0,The wipes was dried up unfortunately
"May 29, 2021",Norma,N/A,5.0,So glad these are available again
"May 28, 2021",Jonathan,i love it,5.0,"i loveClorox Disinfecting Wipes, (225 Count Value Pack), Crisp Lemon and Fresh Scent - 3 Pack - 75 Count Each"
"May 26, 2021",WalmartCustomer,Quickly and easy way to clean.,5.0,"Was so glad to be able to get a pack of these while we were moving recently. We were able to quickly clean the cab of the moving truck, knobs and the bathroom where we were staying overnight, and yo clean the new place quickly and easily."
"May 26, 2021",milagros,N/A,3.0,The problem is that when I received the wipes the containers were all wet. The containers Were not sealed
"May 25, 2021",Regina,Great wipes to clean,5.0,These are great wipes! When you need to wipe your countertops down and make sure you have cleaned and killed germs? They are the wipes you want! Love them! They are affordable too!
"May 23, 2021",Elvia,Very good.,5.0,"It really helps disinfect everything, especially cause of the Covid-19."
"May 22, 2021",JoAnn,Lysol makes the best cleaning products,5.0,Works great. Great price and customer service.
"May 21, 2021",karen,Clorox Wipes great products,5.0,"Love this product, smells good and makes me feel that things are at cleaner."
"May 20, 2021",Judy,It's Clorox. It's good.,5.0,It's Clorox. Of course it's good. I use these in routine cleaning all the time. They are convenient and they get the job done.
"May 18, 2021",Sherry,N/A,5.0,"delivery fast, this is the only wipe I use for my family"
"May 17, 2021",Lindugas,"Clorox Disinfecting Wipes, (225 Count Value Pack),",5.0,I have been using these for YEARS prior to this Pandemic. I used to by them in the 3 pack at a Wholesale store. But the inability to obtain over the past year was frustrating. I am so glad I can now get these to wipe down all surfaces in bath and kitchen with the safe feeling I get from using Clorox products .
"May 16, 2021",Gazelle,Great product,5.0,"Great product , do the job. Price fair (?)"
"May 16, 2021",carmenbabysweet,wipes,1.0,very thin wipes. it use to be thick wipes
"May 16, 2021",Angelina,Ok,4.0,Came late in afternoon ! We are Disable and don't like to go out of the fence when it starts getting dark . We are also Elderly and we don't trust strangers .
"May 15, 2021",Julia,price,5.0,keeping surfaces sanitary from virus is definitely worth it. not bad 3 of them for the price of 10$ and it's quantity
"May 15, 2021",FrannieFrance,Disinfectant Wipes,5.0,Perfect! For Small Areas to Disinfect
"May 15, 2021",Willanda,I have been waiting!!,5.0,I have been waiting for these to come back in regular supply since the pandemic!! This disinfects well and works well with other cleaning products like Clorox clean up. I would recommend this product to family and friends.
"May 13, 2021",WalmartCustomer,Value for money,5.0,"I am so happy, finally, the general public has the ability to purchase cleaning products again. It was so difficult to buy them. The wipes are easy to take out. I used it for clean kids toys, doors, TV tables, counter tops in kitchen and bathrooms. Bonus point: kills COVID-19 VIRUS!"
"May 10, 2021",Cheryl,My FAVORITE SCENT,5.0,I LOVE THESE MY FAVORITE PRODUCT
"May 9, 2021",MsBea,N/A,5.0,Glad they finally got some in the stores!
"May 9, 2021",Marfendra,Positive!,5.0,Love having these on hand! Company coming? A quick swipe or two spiffs up the bathroom quickly and smells so clean!
"May 8, 2021",Nelle,Great For Your Family,5.0,"My family and I have been using these Clorox disinfecting wipes for years. We trust Clorox to protect us against bacteria, germs and viruses. We use these in every part of our home. Door knobs, the bathroom, the kitchen and even wiping down the kids toys. Leaves everything clean and smelling nice. The lemon scent is my absolute favorite. Makes the whole area smell like you've spent a hours cleaning. Works great on the stove too. Easily breaks down and wipes up grease and other touch splatters and spills like tomato sauce. We've really counted on these the last two years to keep us safe and I am happy to report we have stayed safe and haven't been sick the entire two years. For that, I am very thankful to Clorox."
"May 8, 2021",Angelita,N/A,5.0,I am glad I was finally able to purchase this merchandise after months of trying to buy disinfectant wipes.
"May 8, 2021",William,N/A,5.0,"Excellent product, packaged well."
"May 7, 2021",Sally,Great for cleaning and sanitizing.,5.0,"Super for cleaning and sanitizing, takes care of small spills."
"May 5, 2021",karmo,N/A,5.0,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes"
"May 3, 2021",Karen,Finally back in stock!,5.0,These clean well and also disinfect.
"May 3, 2021",I have no nickname,I Hate This New Product,1.0,"[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms.
I have used and currently use a LOT of Clorox products. Just bring back the Wipes and get rid of the imitations."
"May 3, 2021",Candi,Not like it was before,4.0,It is alot thinner than before and there is no scrubbing textures
"May 2, 2021",BBC,"clorox, the best",5.0,"The best, it's clorox.. Lucky to get them"
"April 30, 2021",Anna,N/A,5.0,"Got a 3 pack for less than $ 10.00. Had been having difficulty getting these disinfecting wipes, Great that I was able to get some at Walmart and at a good price."
"April 30, 2021",C Cochran,Love these wipes,5.0,[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.
"April 29, 2021",Louise,N/A,5.0,Always use these Thankful I can purchase them at Walmart and have them delivered at a great price
"April 29, 2021",Cheryl,N/A,5.0,Great Value for one of the best disinfecting wipes they are. Wipes are very strong.
"April 29, 2021",likeshrimp,Sanitizes To My Satisfaction,5.0,What can you say about wipes these make me feel secure when cleaning my home
"April 28, 2021",Gennett,Easy Cleanup,5.0,"I use Clorox most of the time. I find this product to be an easy clean up, very convenient."
"April 28, 2021",Cheryl,Clorox wipes,5.0,Glad to have them back on the shelves after having to make my own for over a year.
"April 28, 2021",MELISSA,Everyone needs wipes,5.0,Who dont need these!!! My favorite brand of disinfectant wipes! I got 3 packs now!
"April 27, 2021",Muthamouth,"Clorox Disinfecting Wipes, (225",5.0,Great disinfectant ! Grab
"April 26, 2021",SPRINGER,Clorox Wipes,5.0,Clorox wipes have a rough texture on one side that makes a difference!!!!
"April 26, 2021",Marylouise,Messes,5.0,Very nice and easy to clean up messes with
"April 25, 2021",Jean,N/A,5.0,Cleans up bathroom especially nicely!
"April 24, 2021",Mildred,Trusting based on advertising.,5.0,I like being able to put one in each important room. Plus there is extra until I received the next Order.
"April 24, 2021",Tommie,A 10,5.0,"This does a good job, it clean and kills germs and you counters etc smells great"
"April 23, 2021",Irma,Great customer service.,4.0,Have always liked Clorox products. First batch they had packaged laying flat in the box. The liquid spilled out
"April 22, 2021",Wanda,N/A,5.0,ive used this brand forever disinfect so well
"April 22, 2021",JOANNE,N/A,5.0,"These Clorox disinfecting wipes are great. I just love them and due to the Pandemic, they are very hard to find. I am, however, disappointed that the wipes were delivered to me without being packed in a cardboard box. They were just sitting on my porch, without the benefit of being packed in a box."
"April 21, 2021",ccm,N/A,5.0,"These help but still somehow we got a stomach virus and we use these and the sprays, and swifter pads every day"
"April 21, 2021",sandrafloerke,N/A,5.0,good. disinfectant. esential item
"April 21, 2021",Nama,N/A,5.0,I use these to keep everything sanitized . In my home with the pandemic and also used before .
"April 20, 2021",MissHeather,"Been a staple MANY MOONS,waay b4Covid...",5.0,These have been MY GO TO since many many MOOONS before Covid EVER came along!! Kept my family safe since and before! Ill ALWAYS have these on hand!
"April 20, 2021",mayra,Good product..Terrible packing,3.0,"I love Clorox Wipes..BUT I ordered this online..and the packaging was awful..Walmart did not cover it with another plastic bag and the person who packed put it the worng way..sooo Water was in the box..and other items were wet, Please take note of this in order to teach the packing people"
"April 18, 2021",Jim,FAST AS LIGHTENING!!!!!,5.0,SPEEDY DELIVERY and Cannot be Happier!!! Thanks so much!!! WE LOVE WALMART!
"April 18, 2021",Adie56,Disinfectant Wipes,5.0,"Because of COVID especially, I am grateful for disinfectant wipes and glad they are back on the market. Also, I have had cancer and like to disinfect counters, steering wheel in my car, phone and purse."
"April 18, 2021",jeff,N/A,5.0,Wonderful to keep everything clean and safe
"April 18, 2021",China,Pass the wipes.,5.0,I want my house fully protected and sanitized during Covid.
"April 16, 2021",Fgn,Good items,5.0,Good purchase for the price and shipping good
"April 13, 2021",Andreea,N/A,5.0,I use them all over the house
"April 12, 2021",Msis,Good item,5.0,Great for sanitizing. Not to small not to big.
"April 12, 2021",memaw,Sanitary wipe ups,5.0,Handy to keep in the bathroom and kitchen for wipe ups!
"April 12, 2021",Bethany,Finaly been able to get these,5.0,I just glad I finally was able to get these since the pandemic started I have not been able to get any I need these for my own medical conditions . I get Mrsa out breaks often I had so many of them since pandemic started and have not been able to disinfect anything I touched so I kept getting the infection. So I am just glad I finally able to get some of them. Mrsa when you have a Mrsa out back or flare up your consider very contagious.
"April 11, 2021",Phyllis,Dont understand why buy a 3 pack,1.0,They came not in one pack together all 3 Came separate
"April 11, 2021",Lonnifer,Love this brand,5.0,Always have trusted Clorox brand. Haven't used yet. Love lemon scent from previous uses.
"April 11, 2021",Nancy,Back in Stock,5.0,"Tough to find. First time finding in more than a year,"
"April 10, 2021",TRP,Refreshing and trustworthy,5.0,"Name brand that has been known in the cleaning industry for years. These wipes are a good size, and come out of the container without rubbing or tearing on a rough plastic like the less expensive brands. They are easily torn apart on taking out of the container, where as some other brands many cloths are wasted because 3-5 come out at once. There is a nice, refreshing scent without being too harsh and abrasive. Also, the individual cloths are moist so you know you are getting some cleaner with them. Most other brands come out dry. I've even had to pour more cleaner in half used containers of other brands directly over the cloths because they were dried out. Waste of money. During this time of Covid we have depended on these and had a container in almost every room, as well as the car. We simply trust them. And, will continue to have available in our home long after we get back to ""normal""."
"April 10, 2021",lizard55,Awesome clean,5.0,Smells good and they disinfect
"April 10, 2021",Yoshira,Great Product!,4.0,Product is great! only issue was either the packaging or delivery service since I ordered 2 packs one of them came soaked not sure If it open and spilled all over or of there was a hole.
"April 9, 2021",kim,Clorox the cleaner clean,5.0,Clorox has always been a good man and the whites are even more convenient very moist it does the job well
"April 8, 2021",Jo,LOVE THEM!,5.0,THESE WIPES DOES IT ALL. I SIT OUTSIDE ON THE PATIO NOW AND USE THESE TO WIPE OFF THE CHAIRS AND SMALL TABLE
"April 8, 2021",Dediea,Great Selection,5.0,Fast delivery and excellent price
"April 8, 2021",Hildy,N/A,5.0,Great quality and product!
"April 7, 2021",Debbie,Back in Stock!,5.0,"So pleased they are back in stock. Able to complete my order before getting the ""I sorry this item is no longer in stock"" message. Quality as expected."
"April 7, 2021",Diana,Poor packaging for the Clorox disinfecting wipes,1.0,"I just received this order delivery today and I have to tell you that Im so disappointed with regard to the packaging. The box was wet on one side and I could smell the strong contents of the Clorox disinfecting wipes coming from the inside! I had not opened the box at that point but the smell was so strong so you can imagine once I did open the contents! Paper was inserted into the box but there was no other type of wrapping other than what the item came with. The contents was soaked and two of the containers lids were slightly opened! Liquid was all over, it was a huge mess!! Needless to say I will not be ordering this item from Walmart in the future! With COVID-19 in effect and being handicapped I thought ordering any product would be safe not to mention convenient, but little did I know I was wrong!! I have ordered laundry soap liquid as well as other types of liquids and have not experienced this issue! Not happy with this at all. Im hoping that when I do use the item there will be liquid left inside that keeps the wipes moist!"
"April 7, 2021",Sandy,N/A,5.0,Love Clorox wipes ! Great product!
"April 6, 2021",Stephanie,N/A,1.0,The inside of the box was wet. The labels on the clorox containers are coming off from being wet. The wipes seem to still be wet but I'm afraid they may not be as effective if the wetness is from the wiped themselves.
"April 5, 2021",GRACE,N/A,5.0,Great for cleaning and disinfecting
"April 5, 2021",Nicole,Clorox Wipes - Good Buy,5.0,This was my first time trying this product and I really liked it. The texture is great and the little ridges made it felt more like a thin towel than a wipe. I will definitely buy it again.
"April 5, 2021",Lody27,Powerful wipes.,5.0,The best wipes and kill bacteria.
"April 4, 2021",leegl,a good buy,5.0,I purchase these all the time and like what I see. You can use them for any cleaning project you have around the house.
"April 4, 2021",Helyn,Glad these are back,5.0,"So happy to get these Clorox wipes. They became a fixture on a several counters in my home over the years. Yes I know there are other brands available, but Clorox has/is my go to wipe with confidence."
"April 3, 2021",Minnie,N/A,3.0,They fine except one containers lid is broken and leaked inside of shipping box
"April 3, 2021",Raynelove19,Great price and quality,5.0,"This is definitely a quality buy for a great price! Especially with all that has been going on with quarantine and health changes worldwide. No complaints here, satisfied customer! Keep this in stock please we need it."
"April 1, 2021",tomvilla60,Thorough cleaning satisfaction,5.0,Makes cleaning easier and I know it is the cleanest it can be .
"March 31, 2021",Linda,Bleach wipes,5.0,"Very pleased, availability, we needed bleach wipes because of an infection someone in the family had and you can always know that Clorox works."
"March 31, 2021",Belinda,Excellent product,5.0,Great product and perfect for my needs
"March 31, 2021",Priscilla,SO PERFECT!,5.0,Good product and I love it! The surrounding inside my house it feels clean after I used this Clorox disinfecting wipes. It helps also to prevent bacteria or germs.
"March 30, 2021",Aisha,N/A,1.0,Too expensive for only a 3 pack. Sam's carry it 5 pack for 10.00 and here 10 for only 3
"March 30, 2021",Kristie,Great,5.0,Always loved Clorox products!
"March 30, 2021",Guadalupe,N/A,5.0,Great for cleaning anything
"March 29, 2021",Ginny,N/A,5.0,Works great to clean everything
"March 29, 2021",Rachel,Where have you been? Clorox?,3.0,"As we all know, during COVID-19, everything Clorox disappeared. Now that I'm able to re-purchase, I bought a three pack of these to have on hand. Honestly, because I had to make do with Lysol instead of Clorox through the pandemic, I now prefer Lysol. The Clorox wipes actually stink, as in smell."
"March 29, 2021",Rick,A welcome return.,5.0,"These are great wipes. When Covid hit these disappeared, and Im so happy to see them back. So convenient and powerful. Thanks for bringing them back!"
"March 28, 2021",MSGE55,Clorox Wipes,5.0,It was great. About to go into the house when the young delivery lady was dropping off my delivery packages.
"March 28, 2021",beatriz,Bust a quicky,5.0,They work great for those times unexpected company shows up and you want to give everything a fast wipe.
"March 27, 2021",sef3,"Clorox Disinfecting Wipes,",5.0,These are great for clean up and the smell is not strong
"March 25, 2021",Elizabeth,N/A,5.0,Product is good. I want to give a big thanks to the delivery person who delivered it to my front door.
"March 25, 2021",Candy,"Thank you, thank you, thank you!",5.0,I AM FULL OF JOY THE DISINFECTANT WIPES ARE OUT! I WANT TO DO CARTWHEELS RIGHT NOW! LOL!
"March 25, 2021",Jacqueline,N/A,5.0,Kills germs. Removes dirt and grim.
"March 24, 2021",amym370,Wonderful product! I use,5.0,Wonderful product! I use these wipes daily to disinfect things within my home and in my classroom. They smell nice and the chemicals are not overpowering when cleaning around children.
"March 24, 2021",Gazebo,N/A,5.0,"Happy finally available again, price did go up a few dollars."
